TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
CLASSES - FIF;03.101.834/0001-81;SANTANDER CEDRO RENDA FIXA - FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2024-12-31;1152435445.77
CLASSES - FIF;03.149.243/0001-84;BRASILETROS PCA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA;2024-12-31;540248138.41
CLASSES - FIF;03.168.115/0001-88;SULAMERICA PAJUCARA FIC DE FIF MULTIMERCADO DE RESPONSABILIDADE LIMITADA;2024-12-31;29605147.15
CLASSES - FIF;03.173.729/0001-58;ITAUPREV MASTER V20 FIF CIC MULT - RESP LIMITADA;2024-12-31;78425095.67
CLASSES - FIF;03.182.559/0001-78;ITAÚ RENDA FIXA REFERENCIADO DI SUPER FIF CIC RESP LIMITADA;2024-12-31;334343087.30
CLASSES - FIF;03.184.103/0001-47;ITAU PRÊMIO RENDA FIXA FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA;2024-12-31;106809759.02
CLASSES - FIF;03.184.134/0001-06;ITAÚ SUPER RENDA FIXA FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA;2024-12-31;128282409.13
CLASSES - FIF;03.184.233/0001-80;ITAÚ PREMIUM RENDA FIXA REFERENCIADO DI FIF DA CIC RESP LIMITADA;2024-12-31;3511696856.21
CLASSES - FIF;03.185.710/0001-21;ITAÚ PP TOP RENDA FIXA SIMPLES FUNDO DE INVESTIMENTO FINANCEIRO CIC RESP LIMITADA;2024-12-31;78206297.94
CLASSES - FIF;03.187.084/0001-02;ITAÚ PP RENDA FIXA CURTO PRAZO FIF CIC RESP LIMITADA;2024-12-31;2015630005.31
CLASSES - FIF;03.191.766/0001-99;SÊNIOR IV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-12-31;4742949.63
CLASSES - FIF;03.233.070/0001-88;PORTO SEGURO SOBERANO REFERENCIADO DI FIF RENDA FIXA RESP LIMITADA;2024-12-31;3952380473.64
CLASSES - FIF;03.233.076/0001-55;PORTO SEGURO EMPRESARIAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO CRÉDITO PRIVADO RESP LIMITADA;2024-12-31;3755155544.88
CLASSES - FIF;03.235.396/0001-44;SAINT MALO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;2024-12-31;3670515.68
CLASSES - FIF;03.307.621/0001-00;SULAMERICA MIX 20 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DE RESPONSABILIDADE LIMITADA;2024-12-31;92964137.57
CLASSES - FIF;03.336.760/0001-62;ITAÚ SL RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA;2024-12-31;159220584.01
CLASSES - FIF;03.336.931/0001-53;MAXI PREMIUM RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO CIC RESP LIMITADA;2024-12-31;44619782.36
CLASSES - FIF;03.364.021/0001-84;ITAÚ FLEXPREV FSA/TM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIV RESP LIMITADA;2024-12-31;96090988.07
CLASSES - FIF;03.364.147/0001-59;ITAÚ FLEXPREV PLUS V20 FIF CIC MULT - RESP LIMITADA;2024-12-31;30169492.21
CLASSES - FIF;03.364.790/0001-82;FEDERAL RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2024-12-31;385147412.32
CLASSES - FIF;03.366.545/0001-04;ITAÚ FLEXPREV MASTER FIF CIC RF - RESP LIMITADA;2024-12-31;2375255830.38
CLASSES - FIF;03.374.369/0001-52;UNIBANCO PREVER IV FIX 100 ESPECIALMENTE CONSTITUIDOS  FIF CIC RF - RESP LIMITADA;2024-12-31;281125016.20
CLASSES - FIF;03.374.465/0001-09;ITAÚ FLEXPREV CORPORATE IV FIF CIC RF - RESP LIMITADA;2024-12-31;355672955.38
CLASSES - FIF;03.374.487/0001-60;ITAÚ FLEXPREV CORPORATE RV15 FIF DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2024-12-31;26715388.60
CLASSES - FIF;03.374.499/0001-95;UNIBANCO PREVER IV RV 30 FIF ESPECIALMENTE CONSTITUÍDOS DA CIC MULT - RESP LIMITADA;2024-12-31;57661329.63
CLASSES - FIF;03.381.437/0001-00;CSHG CENTAURUS FUNDO DE INVESTIMENTO EM COTAS DE FIF -MULT CREDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-12-31;59723477.07
CLASSES - FIF;03.399.411/0001-90;BRADESCO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERENCIADA DI PREMIUM - RESP LIMITADA;2024-12-31;15214543760.15
CLASSES - FIF;03.409.453/0001-64;BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULT CRED PRIV FORTE;2024-12-31;67223276.27
CLASSES - FIF;03.416.010/0001-09;ICATU VANGUARDA  XXXIII FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESP LIMITADA;2024-12-31;10170464.84
CLASSES - FIF;03.438.278/0001-33;ITAUPREV MASTER F100 FIF CIC RENDA FIXA RESPONSABILIDADE LIMITADA;2024-12-31;134156449.76
CLASSES - FIF;03.438.284/0001-90;ITAUPREV MASTER V40 FIF CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2024-12-31;35313536.31
CLASSES - FIF;03.438.288/0001-79;ITAUPREV MASTER V10 FIF CIC MULT - RESP LIMITADA;2024-12-31;158905976.53
CLASSES - FIF;03.499.625/0001-38;ICATU SEG TOP C FUNDO DE INVESTIMENTO EM COTAS FIF RF- RESP LIMITADA;2024-12-31;15228765.72
CLASSES - FIF;03.507.865/0001-37;UNIBANCO PREVER I FIX 100 FIF CIC ESPECIALMENTE CONSTITUÍDOS RF - RESP LIMITADA;2024-12-31;493103196.46
CLASSES - FIF;03.507.873/0001-83;UNIBANCO PREVER I RV 30 FIF ESPECIALMENTE CONSTITUÍDOS DA CIC MULT - RESP LIMITADA;2024-12-31;16844525.96
CLASSES - FIF;03.515.391/0001-75;FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO MOSAICO;2024-12-31;48419614.46
CLASSES - FIF;03.524.814/0001-13;ALVORADA FUNDO DE INVESTIMENTO FINANCEIRO AÇÕES - RESPONSABILIDADE LIMITADA;2024-12-31;2885000483.07
CLASSES - FIF;03.537.456/0001-83;ICATU VANGUARDA MULTIESTRATÉGIA ARROJADO FIF MULT PREVIDENCIÁRIO - RESP LIMITADA;2024-12-31;104615453.67
CLASSES - FIF;03.537.485/0001-45;ICATU SEG COMPOSTO 20E FUNDO DE INVESTIMENTO EM COTAS FIF MULT - RESP LIMITADA;2024-12-31;96592400.89
CLASSES - FIF;03.537.494/0001-36;ICATU SEG MODERADO E FC FIF RENDA FIXA - RESPONSABILIDADE LIMITADA;2024-12-31;168530911.73
CLASSES - FIF;03.537.505/0001-88;ICATU SEG COMPOSTO 10E FUNDO DE INVESTIMENTO EM COTAS FIF MULT - RESP LIMITADA;2024-12-31;32522026.26
CLASSES - FIF;03.545.843/0001-61;CARGILLPREV CD PREVIDENCIÁRIO MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO;2024-12-31;325596950.93
CLASSES - FIF;03.547.677/0001-32;ITAÚ UPJ SUPER RENDA FIXA CURTO PRAZO FIF CIC RESP LIMITADA;2024-12-31;4386527.60
CLASSES - FIF;03.557.198/0001-05;ITAÚ CORP FEDERAL PLUS RENDA FIXA CURTO PRAZO FIF CIC RESP LIMITADA;2024-12-31;1803091189.33
CLASSES - FIF;03.573.793/0001-26;BRADESCO FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA RENTAMAXI - RESPONSABILIDADE LIMITADA;2024-12-31;417320201.80
CLASSES - FIF;03.573.825/0001-93;PRIVATE 11 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;2024-12-31;29924043.78
CLASSES - FIF;03.596.908/0001-06;ITAÚ FLEXPREV CORPORATE VII FIF CIC RF - RESP LIMITADA;2024-12-31;34436961.92
CLASSES - FIF;03.596.909/0001-42;JÚPITER FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2024-12-31;619236.13
CLASSES - FIF;03.597.057/0001-08;ITAÚ FLEXPREV CORPORATE RV49 FIF CIC MULT - RESPONSABILIDADE LIMITADA;2024-12-31;29252130.25
CLASSES - FIF;03.618.010/0001-83;TAGUS FUNDAMENTAL FUNDO DE INVESTIMENTO DE AÇÕES;2024-12-31;5877882.10
CLASSES - FIF;03.618.202/0001-90;ITAÚ PRIVATE K2 MULTIMERCADO FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA;2024-12-31;1604453.74
